"id","text","enthusiastic","ssml"
"15","I'm about to return to the starting point.","Mission accomplished! I am returning to the starting point now.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">Mission accomplished! I am returning to the starting point now.</prosody></voice></speak>"
"16","Low battery. I'm about to return to the starting point. Please charge me.","I'm running out of steam! Going back to the starting point. Please charge me up!","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">I'm running out of steam! Going back to the starting point. Please charge me up!</prosody></voice></speak>"
"17","Please move me to the charging dock.","I need a little boost! Could you please place me on my charging dock?","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">I need a little boost! Could you please place me on my charging dock?</prosody></voice></speak>"
"18","I'm already at the charging dock.","I'm all set! I am already on the charging dock and ready to power up.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">I'm all set! I am already on the charging dock and ready to power up.</prosody></voice></speak>"
"19","Please remove me from the charging dock and turn me off.","I'm finished for now! Please remove me from the dock and turn me off.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">I'm finished for now! Please remove me from the dock and turn me off.</prosody></voice></speak>"
"20","Low battery, I need to charge.","I'm getting sleepy! Low battery, I need to recharge.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">I'm getting sleepy! Low battery, I need to recharge.</prosody></voice></speak>"
"21","Low battery, I will turn off","I'm out of energy! Low battery, I will be turning off now.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">I'm out of energy! Low battery, I will be turning off now.</prosody></voice></speak>"
"22","Please move me to an area that needs to be cleaned.","I'm ready to work! Please place me in an area that needs cleaning.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">I'm ready to work! Please place me in an area that needs cleaning.</prosody></voice></speak>"
"23","My water compartment has been installed","Perfect! The water compartment is installed and ready for mopping!","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05""><emphasis level=""moderate"">Perfect!</emphasis> The water compartment is installed and ready for mopping!</prosody></voice></speak>"
"24","Please check whether my water compartment is properly installed","Wait a second! Please confirm my water compartment is properly installed.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">Wait a second! Please confirm my water compartment is properly installed.</prosody></voice></speak>"
"25","Low battery, I'm unable to carry out the scheduled cleanup.","Oh dear! My battery is too low to start the scheduled cleanup. I'll need a charge first!","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">Oh dear! My battery is too low to start the scheduled cleanup. I'll need a charge first!</prosody></voice></speak>"
"26","Restoring to factory settings.","Starting fresh! Resetting to factory settings now.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">Starting fresh! Resetting to factory settings now.</prosody></voice></speak>"
"27","I'm updating, it will take me about five minutes. Do not turn me off, nor start a cleaning task.","I'm getting a brain boost! Please don't turn me off or start a task while I update.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">I'm getting a brain boost! Please don't turn me off or start a task while I update.</prosody></voice></speak>"
"28","Updated. Successfully.","Update complete! I'm all refreshed and ready for action!","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">Update complete! I'm all refreshed and ready for action!</prosody></voice></speak>"
"29","Couldn't update, please try again.","Oops! The update didn't go through. Let's try that again!","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">Oops! The update didn't go through. Let's try that again!</prosody></voice></speak>"
"30","I'm repositioning. Please stay clear.","Pardon me! I am repositioning, so please keep clear for a moment.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">Pardon me! I am repositioning, so please keep clear for a moment.</prosody></voice></speak>"
"31","I've detected a new area, and will start a new cleaning task.","Ooh, a new area! I've detected a new spot and I'm starting a cleaning task right now!","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">Ooh, a new area! I've detected a new spot and I'm starting a cleaning task right now!</prosody></voice></speak>"
"33","Please wipe my camera clean.","I'm having a hard time seeing! Could you please wipe my camera clean?","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">I'm having a hard time seeing! Could you please wipe my camera clean?</prosody></voice></speak>"
"34","Please install my dust compartment.","I'm missing something! Please install the dust compartment so I can get to work.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">I'm missing something! Please install the dust compartment so I can get to work.</prosody></voice></speak>"
"35","Please check and clean my main brush","My main brush needs a little love! Please check and clean it for me.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">My main brush needs a little love! Please check and clean it for me.</prosody></voice></speak>"
"36","Please check and clean my side brush","Time for a quick check! Please clean my side brush so I can sweep perfectly.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">Time for a quick check! Please clean my side brush so I can sweep perfectly.</prosody></voice></speak>"
"37","Please check and clean my right wheel.","My right wheel needs a look! Please check and clean it so I can keep rolling.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">My right wheel needs a look! Please check and clean it so I can keep rolling.</prosody></voice></speak>"
"38","Please check and clean my left wheel.","Let's check my left wheel! Please give it a quick clean for me.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">Let's check my left wheel! Please give it a quick clean for me.</prosody></voice></speak>"
"39","Please wipe my obstacle sensor clean.","I want to be careful! Please wipe my obstacle sensor clean.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">I want to be careful! Please wipe my obstacle sensor clean.</prosody></voice></speak>"
"40","I'm stuck. Please reposition me so I can start cleaning.","Pardon me, but I'm stuck! Could you reposition me so I can get back to cleaning?","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">Pardon me, but I'm stuck! Could you reposition me so I can get back to cleaning?</prosody></voice></speak>"
"41","My wheels are suspended. Please put me back on the floor.","Whoops! My wheels are off the ground. Please pop me back on the floor so I can keep going!","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">Whoops! My wheels are off the ground. Please pop me back on the floor so I can keep going!</prosody></voice></speak>"
"42","Please check and clean my filter.","To keep the air fresh, please clean my filter and check it for me!","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">To keep the air fresh, please clean my filter and check it for me!</prosody></voice></speak>"
"43","Please check and gently tap my bumper to see if it rebounds.","My bumper feels a bit stiff! Please gently tap it to see if it rebounds.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">My bumper feels a bit stiff! Please gently tap it to see if it rebounds.</prosody></voice></speak>"
"44","If there's an issue, please check the user manual or contact after-sales service.","If you need extra help, please consult the user manual or contact our friendly service team!","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">If you need extra help, please consult the user manual or contact our friendly service team!</prosody></voice></speak>"
"45","I'm here.","Coo-ee! I'm right here!","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05""><emphasis level=""moderate"">Coo-ee!</emphasis> I'm right here!</prosody></voice></speak>"
"46","The phone and I were connected, please return to the APP to wait for the setup to complete.","We're connected! Please return to the app so we can finish the setup together!","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">We're connected! Please return to the app so we can finish the setup together!</prosody></voice></speak>"
"47","Charging","Charging in progress! I can't wait to get back to work for you!","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">Charging in progress! I can't wait to get back to work for you!</prosody></voice></speak>"
"48","Low battery, I'm returning to the dock to charge.","I'm getting tired! Heading to the dock for a quick recharge.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">I'm getting tired! Heading to the dock for a quick recharge.</prosody></voice></speak>"
"49","I've detected a strong magnetic field nearby, please reposition me so I can start cleaning.","Whoa! I've detected a strong magnetic field. Please reposition me so I can start cleaning!","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">Whoa! I've detected a strong magnetic field. Please reposition me so I can start cleaning!</prosody></voice></speak>"
"50","Please check and clean the charging contacts.","Let's keep the power flowing! Please check and clean my charging contacts.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">Let's keep the power flowing! Please check and clean my charging contacts.</prosody></voice></speak>"
"51","My battery's temperature is outside the normal operating range, once it's within range, I can work again","I'm a bit too warm or cold! Once my battery temperature is back to normal, I'll be ready to work!","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">I'm a bit too warm or cold! Once my battery temperature is back to normal, I'll be ready to work!</prosody></voice></speak>"
"52","I'm tilted, please reposition me to a level surface so I can start cleaning.","I'm feeling a bit tilted! Please place me on a level surface so I can start cleaning.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">I'm feeling a bit tilted! Please place me on a level surface so I can start cleaning.</prosody></voice></speak>"
"53","I've detected a virtual wall nearby. Please reposition me so I can start cleaning.","I've hit a virtual wall! Please move me a little bit so I can keep cleaning!","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">I've hit a virtual wall! Please move me a little bit so I can keep cleaning!</prosody></voice></speak>"
"54","Reposition successfully, I'll continue the cleanup.","Great! Reposition successful. I'm continuing the cleanup now!","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">Great! Reposition successful. I'm continuing the cleanup now!</prosody></voice></speak>"
"55","Reposition successfully, I'll return to the dock to charge.","Got it! Reposition successful. I'm heading back to the dock to charge.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">Got it! Reposition successful. I'm heading back to the dock to charge.</prosody></voice></speak>"
"56","I'm starting the area cleanup.","I'm on it! Starting the area cleanup now.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">I'm on it! Starting the area cleanup now.</prosody></voice></speak>"
"57","I'm starting the zoned cleanup.","Focused cleaning! I am starting the zoned cleanup now.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">Focused cleaning! I am starting the zoned cleanup now.</prosody></voice></speak>"
"58","I'll continue the cleanup.","I'm back on the job! I'll continue the cleanup now.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">I'm back on the job! I'll continue the cleanup now.</prosody></voice></speak>"
"59","Mopping completed. Please remove my water compartment.","Mopping is all done! Everything looks great. Please remove the water compartment now.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">Mopping is all done! Everything looks great. Please remove the water compartment now.</prosody></voice></speak>"
"60","Optical sensor error, please wipe the optical sensor clean and restart.","Oh no, an optical sensor error! Please wipe the sensor clean and give me a restart.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">Oh no, an optical sensor error! Please wipe the sensor clean and give me a restart.</prosody></voice></speak>"
"200","turning off","Powering off for now! See you later for more cleaning!","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">Powering off for now! See you later for more cleaning!</prosody></voice></speak>"
